key,korean_text,occurrence_count,locations
index.안내_닫기,안내 닫기,8,web/index.html:376 | web/index.html:376 | web/index.html:395 | web/index.html:395 | web/index.html:752
index.취소,취소,8,web/index.html:380 | web/index.html:4080 | web/index.html:4317 | web/index.html:5113 | web/index.html:5842
index.직접_입력_후_Enter,직접 입력 후 Enter,8,web/index.html:590 | web/index.html:590 | web/index.html:1028 | web/index.html:1028 | web/index.html:4073
index.키워드_직접_입력,키워드 직접 입력,8,web/index.html:591 | web/index.html:591 | web/index.html:1029 | web/index.html:1029 | web/index.html:4073
index.직접_입력_키워드_추가,직접 입력 키워드 추가,8,web/index.html:593 | web/index.html:593 | web/index.html:1031 | web/index.html:1031 | web/index.html:4074
index.단락_스타일,단락 스타일,8,web/index.html:1120 | web/index.html:1120 | web/index.html:1120 | web/index.html:1120 | web/index.html:2075
index.글자_크기,글자 크기,8,web/index.html:1137 | web/index.html:1137 | web/index.html:1137 | web/index.html:1137 | web/index.html:2092
index.왼쪽_정렬,왼쪽 정렬,8,web/index.html:1235 | web/index.html:1235 | web/index.html:1235 | web/index.html:1235 | web/index.html:2187
index.가운데_정렬,가운데 정렬,8,web/index.html:1240 | web/index.html:1240 | web/index.html:1240 | web/index.html:1240 | web/index.html:2192
index.오른쪽_정렬,오른쪽 정렬,8,web/index.html:1245 | web/index.html:1245 | web/index.html:1245 | web/index.html:1245 | web/index.html:2197
index.양쪽_정렬,양쪽 정렬,8,web/index.html:1250 | web/index.html:1250 | web/index.html:1250 | web/index.html:1250 | web/index.html:2202
index.작성_상태,작성 상태,8,web/index.html:1597 | web/index.html:1597 | web/index.html:1598 | web/index.html:1598 | web/index.html:1598
index.다른_회차_지정,다른 회차 지정,8,web/index.html:3311 | web/index.html:5478 | web/index.html:5511 | web/index.html:5583 | web/index.html:5616
index.회차를_선택하세요,회차를 선택하세요,8,web/index.html:3317 | web/index.html:5484 | web/index.html:5517 | web/index.html:5589 | web/index.html:5622
app.주황,주황,7,web/app.js:1241 | web/app.js:8278 | web/app.js:18688 | web/index.html:4528 | web/index.html:4528
app.빨강,빨강,7,web/app.js:1242 | web/app.js:3647 | web/app.js:18687 | web/index.html:4527 | web/index.html:4527
app.보라,보라,7,web/app.js:1245 | web/app.js:8279 | web/app.js:18694 | web/index.html:4532 | web/index.html:4532
app.작품을_먼저_선택해_주세요,작품을 먼저 선택해 주세요.,7,web/app.js:1982 | web/app.js:6306 | web/app.js:15888 | web/app.js:16369 | web/app.js:25242
app.직접_입력,직접 입력,7,web/app.js:5937 | web/app.js:5944 | web/index.html:538 | web/index.html:538 | web/index.html:560
app.떡밥_복선_탐색기,떡밥·복선 탐색기,7,web/app.js:12554 | web/app.js:12568 | web/app.js:19053 | web/app.js:20323 | web/app.js:20459
app.이어서_쓰기,이어서 쓰기,7,web/app.js:13288 | web/app.js:19043 | web/app.js:20346 | web/app.js:40115 | web/app.js:40127
app.스며듦_검사,스며듦 검사,7,web/app.js:19068 | web/index.html:2573 | web/index.html:2573 | web/index.html:3186 | web/index.html:3186
app.추가_2,추가,7,web/app.js:24357 | web/app.js:24490 | web/app.js:46239 | web/index.html:593 | web/index.html:1031
app.상단_고정,상단 고정,7,web/app.js:26356 | web/app.js:26919 | web/app.js:27317 | web/app.js:34639 | web/index.html:4392
app.폴더,폴더,7,web/app.js:27206 | web/app.js:27206 | web/app.js:36925 | web/app.js:37514 | web/app.js:37538
index.글머리_기호,글머리 기호,7,web/index.html:1269 | web/index.html:1269 | web/index.html:2220 | web/index.html:2220 | web/index.html:4617
index.특수문자,특수문자,7,web/index.html:1288 | web/index.html:1288 | web/index.html:2239 | web/index.html:2239 | web/index.html:4632
index.현재_작성_중인_회차,현재 작성 중인 회차,7,web/index.html:5474 | web/index.html:5507 | web/index.html:5579 | web/index.html:5612 | web/index.html:5651
app.시놉시스,시놉시스,6,web/app.js:543 | web/app.js:549 | web/app.js:14084 | web/app.js:18729 | web/index.html:476
app.세계관,세계관,6,web/app.js:561 | web/app.js:567 | web/app.js:18731 | web/index.html:603 | web/index.html:612
app.민트,민트,6,web/app.js:1247 | web/app.js:1262 | web/index.html:4787 | web/index.html:4787 | web/index.html:4787
app.회색,회색,6,web/app.js:1252 | web/app.js:3651 | web/index.html:4533 | web/index.html:4533 | web/index.html:4533
app.글자색,글자색,6,web/app.js:4420 | web/index.html:1211 | web/index.html:1211 | web/index.html:2164 | web/index.html:2164
